shower:number_of_pixel,shower:width,shower:length,shower:delta,shower:psi,shower:skewness,shower:kurtosis,shower:phi,shower:miss,shower:r,shower:cog:x,shower:cog:y,shower:size,array:num_triggered_telescopes
2,0.0022131662908786167,0.023430491702706138,0.19820539328673123,0.19820539328673123,1.4148626331457843,2.0024455756126285,0.1966785776802023,5.480038281742941E-5,0.03589195962797597,0.035199999809265144,0.007013756437458531,61.296544122920515,3
109,0.38401050764747097,0.4263807338922733,0.2724241134369989,0.2724241134369989,0.33989746376592683,3.1068656348643406,0.3413312391569268,0.00824893997893162,0.11980577386989591,0.11289416430404875,0.04010400377337753,2440.1804698160504,3
142,0.3575935015070841,0.3817681482255404,0.25730448745124146,0.25730448745124146,0.4411182722275414,3.6279821093085447,0.6558595390182962,0.04717489291129719,0.12155750324047226,0.09633724344781018,0.07413070968859517,3048.4211559024084,6
133,0.2747330644221521,0.2798368294516541,0.8778564295201345,0.8778564295201345,-0.09926993786303032,3.4984043577058848,0.4941834048977599,0.04452392398554967,0.1189433034068573,0.10471248946101641,0.056416344938432846,2882.632103674891,6
109,0.3683317063904319,0.4200650443315596,1.1929194721287348,1.1929194721287348,0.08345924563417549,3.2965767720354435,0.739248324588021,0.01916338480898436,0.0437252389252194,0.03231186699189759,0.02945912032911778,2254.279760519714,6
107,0.3759532503798498,0.41993015416441015,-1.3044553640848082,-1.3044553640848082,0.6476410493028382,3.876076049389175,0.8090950339139915,0.043738526964537,0.051079137188958526,0.03525245071490006,0.03696407681198042,2274.0260034242997,6
147,0.32151373231770797,0.37346393201623185,0.0038562332007591855,0.0038562332007591855,-0.01766221407348737,4.788398854840603,0.37653912748752966,0.030941597308328,0.08497743279974701,0.07902415008415442,0.0312465644305507,3199.8518472091846,6
114,0.29938201206039944,0.3001441271928333,0.8506542591460247,0.8506542591460247,-0.247778365135456,4.797899096272678,0.6653159887410705,0.014174023987144811,0.07691610196152249,0.06051157126955339,0.047480906514567364,2709.7965913607995,6
127,0.3278257963026133,0.3631107773508042,0.23885014917797148,0.23885014917797148,0.23350168442486302,3.6086951700439562,0.09416689780856238,0.015229639898213469,0.10563008571138266,0.10516209932724908,0.00993216353469101,2643.3830792863014,4
143,0.3097679755314154,0.4192514589322751,0.2044324687411211,0.2044324687411211,0.11484697393678392,3.382741338952005,0.5744905663996465,0.03856283382747872,0.1066244829693334,0.08950797381474418,0.05794051252842643,3231.3206236500655,4
107,0.3683031542650943,0.3833960234262779,1.0159463394952433,1.0159463394952433,0.056709168896852846,3.5908008198211165,-0.5111322882758164,0.06685634482865539,0.06692028491320574,0.058367282995692785,-0.032735070010087734,2104.2109069747435,4
117,0.34010023342536466,0.3599432309115373,0.31663800998269237,0.31663800998269237,-0.12826781921171332,4.0977641906850115,0.818633639348957,0.04924745534172514,0.10234813107206617,0.0699262470261026,0.074735934534796,2627.548247551859,4
3,0.0016813447991478935,0.04805071776367662,0.19609472259037808,0.19609472259037808,1.4172163018383162,2.011503263285007,0.1958365470242478,1.8970811323093052E-5,0.07348027475330043,0.07207571631033642,0.014298317949060467,61.38248070132984,2
24,0.009219654641349299,0.042227804338118034,0.287041089206922,0.287041089206922,1.6582543872174507,2.8337664063427064,0.21116587117203958,0.004761056735547335,0.06280875629401675,0.06141359874953673,0.013164716321747684,500.92318331704246,2
357,0.3066905553964388,0.3184474511845222,0.9541661573913586,0.9541661573913586,0.7427217494794005,3.8671567569543988,1.1007115302686548,0.044695031709925497,0.30608546411528137,0.13864504899402852,0.2728843376452937,9004.738875270548,3
278,0.2293742755189919,0.2324966140666015,0.7233599309592216,0.7233599309592216,0.557068273421278,3.7999965926230947,0.8577825455207917,0.035248581424233844,0.2630134775550632,0.17204141439302395,0.19894180332261885,8081.677352444472,3
13,0.005777266602470325,0.024362316644629494,0.5716907856882831,0.5716907856882831,1.6583657530145268,2.8567429897744034,0.602953624778795,0.002343113509121434,0.07496104961635375,0.06174273860529573,0.04250874250202624,234.98117498971524,3
16,0.010197577980090503,0.0239518453240983,0.5994465574609615,0.5994465574609615,1.597279134855636,2.6033866960197987,0.5398060926543903,0.0045564128881470925,0.07644332092944733,0.06557371975819495,0.03928954812410285,330.29176702339015,2
11,0.01221375412770593,0.04246434680998063,0.4100167439200153,0.4100167439200153,1.4663149060223726,2.2281465703112757,0.5058289989034983,0.007376374628710358,0.07710571646073539,0.06745000645473712,0.03736024812791319,193.6497108496985,2
