file_names,index,simulated_showers
gamma_20deg_0deg_run11164___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11165___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11166___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11167___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11168___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11169___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11170___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11171___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11172___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11173___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11174___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11175___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11176___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11177___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11178___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11179___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11180___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11181___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11182___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11183___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11184___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11185___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11186___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11187___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11188___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11189___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11190___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11191___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11192___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11193___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11194___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11195___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11196___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11197___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11198___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11199___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run11201___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG_cone10,-2.0,20000
gamma_20deg_0deg_run1851___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1852___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1853___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1854___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1855___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1856___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
